Task ID,Filename
2GI2UXCEHZJGFHZGEYPZDWMG,S2B_MSIL1C_20251123T101239_N0511_R022_T32TNT_20251123T104056
QF7BTPS4X3Z2RZSKK5KMVYN6,S2B_MSIL1C_20251123T101239_N0511_R022_T32TPT_20251123T104056
MLDYQDGUPF264RJDDP6QRILA,S2B_MSIL1C_20251113T101159_N0511_R022_T32TNS_20251113T120502
DL6X5HE37E4WIHEE2VPFQUSX,S2B_MSIL1C_20251113T101159_N0511_R022_T32TNT_20251113T120502
QMDKI66LFNOX2PYUTWH2DS55,S2B_MSIL1C_20251113T101159_N0511_R022_T32TPS_20251113T120502
UJMBTKJJXIGQVQL6SEAHVYFO,S2B_MSIL1C_20251113T101159_N0511_R022_T32TPT_20251113T120502
